"StockCode";"CUST_COUNT";"TOTALPRODREVENUE";"NO_OF_SALES";"AVG_REVENUE"
"21463";"76";"3206.25";"133";"24.107143"
"21464";"56";"1004.25";"104";"9.656250"
"21465";"52";"710.30";"71";"10.004225"
"21466";"68";"996.89";"107";"9.316729"
"21467";"53";"775.64";"96";"8.079583"
"21468";"43";"549.73";"65";"8.457385"
"21469";"52";"781.57";"77";"10.150260"
"21470";"75";"1226.57";"129";"9.508295"
"21471";"73";"1913.09";"150";"12.753933"
"21472";"28";"431.41";"38";"11.352895"
"21473";"17";"269.73";"21";"12.844286"
"21474";"1";"0.00";"1";"0.000000"
"21476";"15";"409.59";"24";"17.066250"
"21479";"241";"19574.02";"482";"40.610000"
"21481";"212";"7734.93";"406";"19.051552"
"21484";"191";"7807.95";"380";"20.547237"
"21485";"342";"14650.74";"569";"25.748225"
"21486";"5";"147.88";"12";"12.323333"
"21488";"3";"566.17";"18";"31.453889"
"21491";"1";"1.95";"2";"0.975000"
"21494";"72";"3362.58";"299";"11.246087"
"21495";"95";"2230.00";"159";"14.025157"
"21497";"166";"3272.50";"219";"14.942922"
"21498";"209";"3797.42";"296";"12.829122"
"21499";"149";"2359.34";"186";"12.684624"
"21500";"137";"2194.00";"181";"12.121547"
"21503";"17";"168.00";"18";"9.333333"
"21504";"74";"778.89";"114";"6.832368"
"21506";"159";"1980.05";"306";"6.470752"
"21507";"119";"1107.76";"234";"4.734017"
"21508";"97";"841.78";"194";"4.339072"
"21509";"124";"1119.40";"241";"4.644813"
"21511";"1";"0.00";"1";"0.000000"
"21518";"15";"101.48";"37";"2.742703"
"21519";"93";"1211.38";"228";"5.313070"
"21520";"27";"167.27";"54";"3.097593"
"21523";"190";"18568.79";"463";"40.105378"
"21524";"225";"10377.18";"428";"24.245748"
"21527";"94";"2929.42";"136";"21.539853"
"21528";"59";"1283.07";"107";"11.991308"
"21530";"63";"656.75";"100";"6.567500"
"21531";"120";"2928.72";"211";"13.880190"
"21533";"188";"4942.10";"303";"16.310561"
"21534";"93";"1754.17";"151";"11.617020"
"21535";"185";"5233.31";"310";"16.881645"
"21537";"42";"573.71";"48";"11.952292"
"21538";"3";"18.75";"3";"6.250000"
"21539";"106";"3261.49";"207";"15.755990"
"21544";"68";"1318.83";"154";"8.563831"
"21547";"13";"218.13";"21";"10.387143"
"21555";"6";"243.37";"64";"3.802656"
"21556";"30";"2305.97";"106";"21.754434"
"21557";"24";"1772.81";"158";"11.220316"
"21558";"135";"3543.67";"354";"10.010367"
"21559";"170";"5300.78";"451";"11.753392"
"21561";"95";"1794.03";"180";"9.966833"
"21562";"19";"280.56";"26";"10.790769"
"21563";"85";"1942.13";"142";"13.676972"
"21564";"56";"1392.47";"115";"12.108435"
"21576";"30";"432.34";"66";"6.550606"
"21577";"70";"1165.40";"143";"8.149650"
"21578";"28";"580.01";"81";"7.160617"
"21579";"23";"243.22";"42";"5.790952"
"21580";"15";"320.32";"53";"6.043774"
"21581";"28";"442.17";"71";"6.227746"
"21584";"113";"1514.00";"138";"10.971014"
"21586";"56";"1686.15";"69";"24.436957"
"21587";"25";"450.15";"27";"16.672222"
"21588";"96";"3368.55";"129";"26.112791"
"21589";"1";"0.00";"1";"0.000000"
"21591";"112";"1827.39";"142";"12.868944"
"21592";"152";"1973.21";"206";"9.578689"
"21594";"1";"8.34";"3";"2.780000"
"21595";"1";"16.94";"3";"5.646667"
"21609";"58";"2054.24";"76";"27.029474"
"21610";"1";"0.00";"1";"0.000000"
"21613";"38";"661.93";"43";"15.393721"
"21614";"8";"153.29";"11";"13.935455"
"21615";"81";"1206.67";"130";"9.282077"
"21616";"79";"1138.34";"132";"8.623788"
"21617";"60";"953.01";"99";"9.626364"
"21618";"48";"748.37";"92";"8.134457"
"21619";"97";"1421.40";"161";"8.828571"
"21620";"93";"1354.49";"163";"8.309755"
"21621";"259";"22654.76";"469";"48.304392"
"21622";"68";"1588.26";"95";"16.718526"
"21623";"136";"22709.65";"215";"105.626279"
"21624";"70";"1227.38";"92";"13.341087"
"21625";"93";"2660.01";"162";"16.419815"
"21626";"65";"1543.85";"100";"15.438500"
"21627";"13";"569.43";"46";"12.378913"
"21628";"11";"509.49";"29";"17.568621"
"21629";"14";"600.95";"42";"14.308333"
"21630";"12";"468.92";"33";"14.209697"
"21631";"16";"833.59";"27";"30.873704"
"21632";"6";"474.24";"26";"18.240000"
"21633";"13";"752.63";"42";"17.919762"
"21634";"22";"463.23";"27";"17.156667"
"21635";"15";"352.46";"17";"20.732941"
"21636";"58";"680.41";"70";"9.720143"
"21637";"6";"113.75";"6";"18.958333"
"21638";"25";"526.76";"40";"13.169000"
"21640";"37";"554.51";"76";"7.296184"
"21641";"20";"451.59";"50";"9.031800"
"21642";"80";"763.60";"100";"7.636000"
"21643";"23";"653.31";"56";"11.666250"
"21644";"31";"237.50";"35";"6.785714"
"21645";"2";"-39.60";"2";"-19.800000"
"21647";"22";"245.70";"26";"9.450000"
"21648";"23";"841.54";"63";"13.357778"
"21650";"44";"660.93";"127";"5.204173"
"21651";"9";"198.57";"12";"16.547500"
"21653";"1";"0.00";"1";"0.000000"
"21654";"40";"491.96";"59";"8.338305"
"21655";"2";"0.00";"4";"0.000000"
"21656";"12";"401.08";"44";"9.115455"
"21657";"11";"172.88";"15";"11.525333"
"21658";"78";"3196.71";"202";"15.825297"
"21661";"4";"17.85";"6";"2.975000"
"21662";"15";"536.18";"28";"19.149286"
"21664";"16";"353.97";"19";"18.630000"
"21666";"18";"244.51";"38";"6.434474"
"21667";"2";"0.00";"6";"0.000000"
"21668";"144";"5784.64";"386";"14.986114"
"21669";"142";"5931.51";"386";"15.366606"
"21670";"140";"5304.04";"347";"15.285418"
"21671";"143";"4864.16";"332";"14.651084"
"21672";"129";"5280.86";"355";"14.875662"
"21673";"132";"5199.50";"333";"15.614114"
"21675";"36";"440.76";"101";"4.363960"
"21676";"19";"214.76";"58";"3.702759"
"21677";"58";"651.14";"114";"5.711754"
"21678";"15";"91.46";"30";"3.048667"
"21679";"60";"890.88";"128";"6.960000"
"21680";"20";"275.46";"72";"3.825833"
"21681";"3";"19.90";"3";"6.633333"
"21682";"40";"817.11";"54";"15.131667"
"21683";"37";"842.50";"54";"15.601852"
"21684";"25";"351.10";"44";"7.979545"
"21686";"7";"334.67";"22";"15.212273"
"21688";"35";"1065.88";"56";"19.033571"
"21689";"22";"339.87";"26";"13.071923"
"21690";"7";"90.00";"9";"10.000000"
"21692";"8";"63.75";"9";"7.083333"
"21693";"37";"1054.81";"47";"22.442766"
"21694";"18";"822.63";"23";"35.766522"
"21695";"34";"839.98";"39";"21.537949"
"21696";"25";"601.60";"31";"19.406452"
"21698";"19";"135.25";"41";"3.298780"
"21700";"38";"1610.74";"167";"9.645150"
"21703";"159";"3370.13";"276";"12.210616"
"21704";"127";"3698.82";"226";"16.366460"
"21705";"85";"1322.21";"136";"9.722132"
"21706";"42";"1199.93";"101";"11.880495"
"21707";"38";"605.26";"67";"9.033731"
"21708";"25";"783.91";"61";"12.850984"
"21709";"24";"463.68";"52";"8.916923"
"21710";"24";"343.22";"38";"9.032105"
"21711";"22";"493.04";"35";"14.086857"
"21713";"102";"1686.69";"154";"10.952532"
"21714";"106";"2944.40";"224";"13.144643"
"21715";"100";"2603.27";"211";"12.337773"
"21716";"98";"3196.12";"229";"13.956856"
"21717";"31";"384.73";"36";"10.686944"
"21718";"99";"1933.39";"221";"8.748371"
"21719";"23";"215.64";"49";"4.400816"
"21720";"8";"48.45";"8";"6.056250"
"21721";"17";"148.86";"30";"4.962000"
"21722";"15";"94.68";"37";"2.558919"
"21723";"26";"302.48";"55";"5.499636"
"21724";"39";"294.63";"76";"3.876711"
"21725";"25";"216.04";"48";"4.500833"
"21726";"29";"184.29";"41";"4.494878"
"21730";"78";"2348.63";"129";"18.206434"
"21731";"179";"13194.18";"660";"19.991182"
"21733";"365";"21675.29";"705";"30.745092"
"21735";"57";"1654.35";"79";"20.941139"
"21736";"6";"136.05";"8";"17.006250"
"21738";"17";"144.58";"22";"6.571818"
"21739";"33";"596.88";"104";"5.739231"
"21741";"27";"462.47";"39";"11.858205"
"21742";"75";"1144.53";"90";"12.717000"
"21743";"29";"846.35";"50";"16.927000"
"21744";"64";"1407.20";"122";"11.534426"
"21745";"110";"3389.48";"208";"16.295577"
"21746";"104";"2974.66";"192";"15.493021"
"21747";"27";"469.33";"49";"9.578163"
"21749";"72";"3624.49";"129";"28.096822"
"21750";"15";"159.21";"23";"6.922174"
"21754";"343";"15833.42";"749";"21.139413"
"21755";"322";"11720.69";"608";"19.277451"
"21756";"155";"4387.83";"253";"17.343202"
"21757";"3";"29.70";"3";"9.900000"
"21758";"14";"382.22";"33";"11.582424"
"21761";"10";"89.91";"10";"8.991000"
"21763";"5";"59.94";"7";"8.562857"
"21765";"1";"0.00";"1";"0.000000"
"21769";"3";"109.89";"3";"36.630000"
"21770";"233";"6268.38";"341";"18.382346"
"21773";"50";"1139.17";"162";"7.031914"
"21774";"33";"1022.40";"178";"5.743820"
"21775";"33";"683.11";"138";"4.950072"
"21777";"6";"55.65";"9";"6.183333"
"21781";"49";"1368.63";"100";"13.686300"
"21784";"21";"507.69";"49";"10.361020"
"21785";"3";"5.06";"6";"0.843333"
"21786";"44";"685.81";"213";"3.219765"
"21787";"96";"5447.65";"214";"25.456308"
"21788";"53";"696.14";"75";"9.281867"
"21789";"47";"503.60";"80";"6.295000"
"21790";"443";"11202.86";"876";"12.788653"
"21791";"305";"8939.05";"553";"16.164647"
"21792";"57";"1339.39";"74";"18.099865"
"21793";"58";"1296.61";"75";"17.288133"
"21794";"79";"2075.21";"106";"19.577453"
"21801";"23";"515.14";"128";"4.024531"
"21802";"45";"913.68";"180";"5.076000"
"21803";"47";"1031.56";"200";"5.157800"
"21804";"38";"830.03";"70";"11.857571"
"21805";"1";"0.00";"1";"0.000000"
"21806";"1";"0.00";"1";"0.000000"
"21807";"25";"189.42";"32";"5.919375"
"21808";"21";"596.58";"48";"12.428750"
"21809";"70";"1039.59";"117";"8.885385"
"21810";"127";"2720.56";"251";"10.838884"
"21811";"117";"2575.08";"244";"10.553607"
"21812";"36";"1650.78";"100";"16.507800"
"21813";"37";"2154.20";"111";"19.407207"
"21814";"12";"117.57";"16";"7.348125"
"21815";"15";"236.88";"29";"8.168276"
"21816";"6";"49.30";"7";"7.042857"
"21817";"46";"362.31";"56";"6.469821"
"21818";"116";"1299.88";"161";"8.073789"
"21819";"91";"984.12";"120";"8.201000"
"21820";"49";"1244.72";"91";"13.678242"
"21821";"34";"947.05";"61";"15.525410"
"21822";"46";"726.31";"95";"7.645368"
"21823";"61";"836.02";"98";"8.530816"
"21824";"61";"1002.49";"114";"8.793772"
"21825";"1";"0.00";"1";"0.000000"
"21826";"16";"168.93";"36";"4.692500"
"21827";"4";"7.50";"4";"1.875000"
"21828";"51";"404.54";"81";"4.994321"
"21829";"89";"1279.30";"162";"7.896914"
"21830";"63";"1096.99";"106";"10.348962"
"21832";"74";"1422.15";"183";"7.771311"
"21833";"83";"3982.72";"159";"25.048553"
"21836";"3";"26.49";"5";"5.298000"
"21839";"2";"5.45";"2";"2.725000"
"21841";"19";"306.00";"23";"13.304348"
"21843";"217";"10574.46";"456";"23.189605"
"21844";"87";"4239.64";"135";"31.404741"
"21845";"62";"1509.57";"79";"19.108481"
"21846";"13";"1147.57";"104";"11.034327"
"21847";"6";"178.89";"33";"5.420909"
"21849";"17";"558.83";"66";"8.467121"
"21850";"13";"340.08";"55";"6.183273"
"21851";"13";"454.99";"63";"7.222063"
"21854";"1";"0.00";"1";"0.000000"
"21858";"1";"0.00";"1";"0.000000"
"21864";"64";"1938.79";"182";"10.652692"
"21865";"52";"612.63";"106";"5.779528"
"21866";"77";"1251.13";"190";"6.584895"
"21867";"57";"486.50";"121";"4.020661"
"21868";"150";"3042.84";"302";"10.075629"
"21870";"95";"1738.96";"161";"10.800994"
"21871";"121";"5281.35";"331";"15.955740"
"21872";"77";"1123.96";"131";"8.579847"
"21873";"60";"1632.98";"112";"14.580179"
"21874";"105";"3670.78";"282";"13.016950"
"21875";"83";"2335.63";"146";"15.997466"
"21876";"140";"4725.81";"332";"14.234367"
"21877";"161";"5040.78";"327";"15.415229"
"21878";"117";"2070.20";"220";"9.410000"
"21879";"49";"354.91";"88";"4.033068"
"21880";"51";"481.04";"199";"2.417286"
"21881";"24";"258.26";"60";"4.304333"
"21882";"30";"212.15";"64";"3.314844"
"21883";"53";"449.51";"98";"4.586837"
"21884";"32";"339.62";"81";"4.192840"
"21888";"194";"4631.51";"346";"13.385867"
"21889";"317";"7209.79";"545";"13.228972"
"21890";"134";"3447.51";"221";"15.599593"
"21891";"240";"9381.54";"390";"24.055231"
"21892";"215";"3765.77";"382";"9.858037"
"21894";"54";"833.33";"127";"6.561654"
"21895";"2";"12.72";"3";"4.240000"
"21896";"72";"2098.49";"103";"20.373689"
"21897";"2";"1268.19";"5";"253.638000"
"21898";"7";"1541.11";"28";"55.039643"
"21899";"147";"1410.44";"278";"5.073525"
"21900";"165";"1876.29";"371";"5.057385"
"21901";"142";"1258.39";"308";"4.085682"
"21902";"113";"944.09";"209";"4.517177"
"21903";"110";"2099.83";"176";"11.930852"
"21904";"22";"107.10";"24";"4.462500"
"21905";"81";"763.71";"155";"4.927161"
"21906";"53";"3001.52";"148";"20.280541"
"21907";"198";"4554.08";"353";"12.901076"
"21908";"206";"6354.52";"446";"14.247803"
"21910";"8";"39.60";"8";"4.950000"
"21911";"18";"163.61";"32";"5.112813"
"21912";"193";"6526.45";"366";"17.831831"
"21913";"69";"1412.08";"141";"10.014752"
"21914";"268";"7412.86";"514";"14.421907"
"21915";"307";"21472.63";"555";"38.689423"
"21916";"149";"1850.43";"350";"5.286943"
"21917";"119";"1300.47";"208";"6.252260"
"21918";"167";"1892.57";"334";"5.666377"
"21922";"107";"6426.63";"199";"32.294623"
"21923";"1";"0.00";"1";"0.000000"
"21925";"37";"481.25";"65";"7.403846"
"21926";"33";"472.40";"58";"8.144828"
"21927";"41";"692.40";"99";"6.993939"
"21928";"245";"19444.50";"774";"25.122093"
"21929";"280";"20788.41";"816";"25.475993"
"21930";"210";"12959.05";"685";"18.918321"
"21931";"304";"28818.10";"1131";"25.480195"
"21932";"201";"4246.58";"419";"10.135036"
"21933";"180";"3949.28";"382";"10.338429"
"21934";"78";"4203.28";"403";"10.429975"
"21935";"103";"5625.81";"508";"11.074429"
"21936";"178";"8346.09";"451";"18.505743"
"21937";"124";"3555.00";"227";"15.660793"
"21942";"15";"302.81";"104";"2.911635"
"21943";"7";"103.89";"47";"2.210426"
"21944";"22";"269.39";"96";"2.806146"
"21945";"27";"363.14";"104";"3.491731"
"21946";"8";"44.75";"22";"2.034091"
"21947";"56";"819.95";"142";"5.774296"
"21948";"33";"814.48";"147";"5.540680"
"21949";"37";"674.74";"131";"5.150687"
"21955";"102";"7114.32";"196";"36.297551"
"21967";"113";"1374.13";"212";"6.481745"
"21972";"29";"346.83";"56";"6.193393"
"21973";"22";"165.30";"27";"6.122222"
"21974";"153";"2755.15";"328";"8.399848"
"21975";"261";"4905.20";"545";"9.000367"
"21976";"129";"1272.20";"321";"3.963240"
"21977";"362";"9952.12";"782";"12.726496"
"21980";"168";"1628.87";"255";"6.387725"
"21981";"103";"1039.71";"219";"4.747534"
"21982";"168";"2096.53";"342";"6.130205"
"21983";"93";"610.51";"146";"4.181575"
"21984";"113";"814.91";"194";"4.200567"
"21985";"254";"2614.10";"415";"6.299036"
"21986";"109";"1014.68";"172";"5.899302"
"21987";"75";"585.99";"121";"4.842893"
"21988";"71";"962.86";"145";"6.640414"
"21989";"100";"1507.24";"290";"5.197379"
"21990";"114";"2495.05";"350";"7.128714"
"21991";"78";"1018.12";"209";"4.871388"
"21992";"150";"3359.77";"423";"7.942719"
"21993";"139";"2997.09";"409";"7.327848"
"22016";"1";"9.99";"1";"9.990000"
"22021";"58";"551.05";"69";"7.986232"
"22023";"68";"508.48";"142";"3.580845"
"22024";"77";"699.73";"190";"3.682789"
"22025";"61";"483.13";"113";"4.275487"
"22026";"64";"635.76";"152";"4.182632"
"22027";"133";"1185.39";"284";"4.173908"
"22028";"103";"1013.98";"226";"4.486637"
"22029";"180";"2156.37";"424";"5.085778"
"22030";"174";"2166.61";"263";"8.238061"
"22031";"28";"215.51";"80";"2.693875"
"22032";"23";"146.70";"53";"2.767925"
"22033";"21";"141.95";"23";"6.171739"
"22034";"2";"5.02";"8";"0.627500"
"22035";"59";"545.32";"135";"4.039407"
"22036";"1";"0.00";"1";"0.000000"
"22037";"142";"1314.44";"301";"4.366910"
"22038";"18";"189.00";"18";"10.500000"
"22039";"5";"52.50";"7";"7.500000"
"22040";"25";"283.50";"26";"10.903846"
"22041";"70";"11153.71";"356";"31.330646"
"22042";"24";"163.29";"40";"4.082250"
"22043";"38";"281.70";"61";"4.618033"
"22044";"32";"163.08";"32";"5.096250"
"22045";"119";"2003.34";"170";"11.784353"
"22046";"46";"699.72";"60";"11.662000"
"22047";"91";"1352.50";"104";"13.004808"
"22048";"27";"283.50";"27";"10.500000"
"22049";"26";"250.50";"31";"8.080645"
"22050";"30";"336.00";"33";"10.181818"
"22051";"27";"315.00";"30";"10.500000"
"22052";"21";"231.00";"28";"8.250000"
"22053";"22";"3580.17";"27";"132.598889"
"22055";"94";"1789.85";"205";"8.730976"
"22057";"41";"479.62";"54";"8.881852"
"22059";"73";"1648.16";"156";"10.565128"
"22060";"30";"860.40";"34";"25.305882"
"22061";"80";"3415.26";"133";"25.678647"
"22062";"42";"561.41";"75";"7.485467"
"22063";"48";"1155.58";"108";"10.699815"
"22064";"75";"2158.70";"226";"9.551770"
"22065";"126";"3269.81";"232";"14.094009"
"22066";"93";"867.18";"127";"6.828189"
"22067";"29";"497.52";"64";"7.773750"
"22068";"57";"838.63";"143";"5.864545"
"22069";"27";"996.80";"146";"6.827397"
"22070";"54";"1407.42";"103";"13.664272"
"22071";"55";"868.01";"75";"11.573467"
"22072";"82";"2372.20";"150";"15.814667"
"22073";"32";"892.44";"61";"14.630164"
"22074";"55";"1111.42";"191";"5.818953"
"22075";"90";"2353.73";"194";"12.132629"
"22076";"88";"1524.33";"216";"7.057083"
"22077";"366";"13976.92";"856";"16.328178"
"22078";"91";"1774.81";"174";"10.200057"
"22079";"174";"2826.24";"303";"9.327525"
"22080";"95";"1300.73";"132";"9.854015"
"22081";"70";"1085.75";"133";"8.163534"
"22082";"233";"3964.08";"385";"10.296312"
"22083";"276";"12818.89";"581";"22.063494"
"22084";"276";"14842.72";"442";"33.580814"
"22085";"57";"1250.89";"89";"14.054944"
"22086";"597";"61888.19";"1126";"54.962869"
"22087";"146";"11179.28";"317";"35.265868"
"22088";"105";"4835.40";"226";"21.395575"
"22089";"134";"4075.18";"259";"15.734286"
"22090";"274";"19007.96";"710";"26.771775"
"22091";"94";"975.14";"163";"5.982454"
"22092";"71";"247.56";"85";"2.912471"
"22093";"109";"694.40";"153";"4.538562"
"22094";"109";"904.75";"189";"4.787037"
"22095";"72";"1569.35";"142";"11.051761"
"22096";"88";"569.19";"116";"4.906810"
"22097";"100";"665.08";"142";"4.683662"
"22098";"91";"853.46";"164";"5.204024"
"22099";"87";"629.30";"142";"4.431690"
"22100";"32";"272.22";"56";"4.861071"
"22101";"21";"1914.21";"69";"27.742174"
"22102";"13";"521.34";"29";"17.977241"
"22103";"12";"706.58";"25";"28.263200"
"22104";"10";"343.71";"59";"5.825593"
"22105";"9";"602.82";"33";"18.267273"
"22106";"10";"741.63";"48";"15.450625"
"22107";"44";"1996.81";"176";"11.345511"
"22108";"15";"385.09";"61";"6.312951"
"22109";"93";"6134.85";"288";"21.301563"
"22110";"108";"4615.08";"263";"17.547833"
"22111";"406";"21570.65";"735";"29.347823"
"22112";"371";"28724.59";"821";"34.987320"
"22113";"324";"11611.38";"533";"21.784953"
"22114";"314";"31888.99";"623";"51.186180"
"22115";"148";"1978.72";"223";"8.873184"
"22116";"65";"592.52";"148";"4.003514"
"22117";"55";"3821.35";"91";"41.992857"
"22118";"65";"842.41";"86";"9.795465"
"22119";"77";"1432.41";"98";"14.616429"
"22120";"114";"4483.35";"179";"25.046648"
"22121";"91";"1935.47";"134";"14.443806"
"22123";"52";"896.13";"112";"8.001161"
"22124";"13";"293.73";"74";"3.969324"
"22125";"2";"113.71";"4";"28.427500"
"22127";"19";"454.68";"22";"20.667273"
"22128";"46";"1547.92";"59";"26.235932"
"22129";"23";"910.82";"87";"10.469195"
"22130";"77";"2468.30";"103";"23.964078"
"22131";"101";"1899.14";"266";"7.139624"
"22132";"49";"565.34";"141";"4.009504"
"22133";"34";"538.41";"123";"4.377317"
"22134";"21";"343.82";"151";"2.276954"
"22135";"20";"297.60";"174";"1.710345"
"22136";"35";"500.68";"83";"6.032289"
"22137";"9";"184.88";"11";"16.807273"
"22138";"494";"19954.92";"790";"25.259392"
"22139";"408";"16815.49";"819";"20.531734"
"22141";"242";"6013.19";"430";"13.984163"
"22142";"244";"4383.24";"361";"12.141939"
"22143";"1";"0.00";"1";"0.000000"
"22144";"291";"8855.78";"506";"17.501542"
"22145";"1";"0.00";"2";"0.000000"
"22146";"2";"1.95";"2";"0.975000"
"22147";"277";"6948.04";"463";"15.006566"
"22148";"138";"3440.90";"175";"19.662286"
"22149";"319";"10554.18";"522";"20.218736"
"22150";"271";"5024.94";"438";"11.472466"
"22151";"165";"5447.41";"316";"17.238639"
"22152";"68";"876.14";"104";"8.424423"
"22153";"60";"1044.37";"128";"8.159141"
"22154";"86";"1595.09";"161";"9.907391"
"22155";"67";"1094.13";"143";"7.651259"
"22156";"106";"2016.42";"256";"7.876641"
"22157";"12";"180.20";"12";"15.016667"
"22158";"199";"10799.53";"300";"35.998433"
"22161";"115";"1569.64";"334";"4.699521"
"22162";"22";"808.79";"95";"8.513579"
"22163";"37";"872.61";"117";"7.458205"
"22164";"11";"232.52";"15";"15.501333"
"22165";"28";"2855.38";"147";"19.424354"
"22166";"14";"1247.69";"88";"14.178295"
"22167";"40";"1939.79";"155";"12.514774"
"22168";"62";"933.30";"71";"13.145070"
"22169";"152";"8678.98";"345";"25.156464"
"22170";"136";"6469.65";"257";"25.173735"
"22171";"165";"11709.37";"367";"31.905640"
"22173";"199";"6806.46";"476";"14.299286"
"22174";"95";"5760.98";"307";"18.765407"
"22175";"69";"1415.83";"143";"9.900909"
"22176";"47";"880.53";"93";"9.468065"
"22178";"388";"31687.93";"1003";"31.593151"
"22179";"86";"5382.24";"275";"19.571782"
"22180";"79";"2368.58";"136";"17.416029"
"22181";"30";"225.24";"44";"5.119091"
"22182";"27";"1261.88";"114";"11.069123"
"22183";"16";"1883.51";"129";"14.600853"
"22184";"5";"420.86";"35";"12.024571"
"22185";"108";"2172.64";"158";"13.750886"
"22186";"109";"1750.28";"145";"12.070897"
"22187";"122";"3179.93";"190";"16.736474"
"22188";"121";"12085.50";"187";"64.628342"
"22189";"264";"23021.07";"505";"45.586277"
"22190";"35";"961.71";"112";"8.586696"
"22191";"223";"8103.10";"381";"21.267979"
"22192";"157";"5985.57";"324";"18.473981"
"22193";"188";"9680.56";"420";"23.048952"
"22194";"22";"503.87";"45";"11.197111"
"22195";"128";"2962.81";"341";"8.688592"
"22196";"133";"2286.28";"449";"5.091938"
"22197";"373";"48214.77";"1297";"37.174071"
"22198";"42";"1592.11";"84";"18.953690"
"22199";"57";"1311.34";"145";"9.043724"
"22200";"39";"1343.48";"124";"10.834516"
"22201";"25";"554.55";"84";"6.601786"
"22202";"13";"244.35";"36";"6.787500"
"22203";"61";"1089.38";"127";"8.577795"
"22204";"16";"527.04";"71";"7.423099"
"22206";"1";"4.17";"5";"0.834000"
"22207";"61";"5415.34";"200";"27.076700"
"22208";"142";"1443.33";"271";"5.325941"
"22209";"91";"806.29";"162";"4.977099"
"22210";"110";"787.30";"177";"4.448023"
"22211";"96";"973.22";"189";"5.149312"
"22212";"134";"3283.04";"381";"8.616903"
"22214";"16";"324.80";"53";"6.128302"
"22215";"51";"1174.27";"69";"17.018406"
"22216";"17";"492.53";"67";"7.351194"
"22217";"63";"767.51";"83";"9.247108"
"22218";"2";"4.25";"2";"2.125000"
"22219";"186";"3744.77";"539";"6.947625"
"22220";"58";"1281.02";"76";"16.855526"
"22221";"23";"578.83";"32";"18.088438"
"22222";"91";"3242.64";"205";"15.817756"
"22223";"24";"1466.65";"63";"23.280159"
"22224";"85";"2672.61";"160";"16.703813"
"22227";"82";"1626.17";"287";"5.666098"
"22228";"78";"693.17";"139";"4.986835"
"22229";"53";"381.44";"96";"3.973333"
"22230";"48";"400.45";"97";"4.128351"
"22231";"85";"782.37";"136";"5.752721"
"22232";"44";"336.54";"71";"4.740000"
"22233";"68";"475.56";"100";"4.755600"
"22236";"49";"1378.62";"63";"21.882857"
"22241";"123";"2577.12";"236";"10.920000"
"22242";"14";"325.98";"25";"13.039200"
"22243";"47";"726.69";"95";"7.649368"
"22244";"51";"1049.61";"130";"8.073923"
"22245";"39";"549.57";"89";"6.174944"
"22246";"30";"915.97";"88";"10.408750"
"22247";"54";"579.54";"112";"5.174464"
"22248";"43";"495.34";"109";"4.544404"
"22249";"73";"809.46";"145";"5.582483"
"22250";"57";"702.05";"147";"4.775850"
"22251";"68";"871.99";"138";"6.318768"
"22252";"41";"556.06";"60";"9.267667"
"22254";"25";"498.28";"52";"9.582308"
"22255";"24";"411.38";"65";"6.328923"
"22256";"29";"332.90";"46";"7.236957"
"22257";"15";"249.17";"40";"6.229250"
"22258";"33";"679.82";"75";"9.064267"
"22259";"17";"332.84";"44";"7.564545"
"22260";"35";"522.19";"99";"5.274646"
"22261";"58";"495.41";"103";"4.809806"
"22262";"58";"805.96";"128";"6.296563"
"22263";"14";"155.36";"51";"3.046275"
"22264";"33";"643.16";"90";"7.146222"
"22265";"43";"366.15";"64";"5.721094"
"22266";"68";"447.14";"89";"5.024045"
"22267";"66";"591.40";"78";"7.582051"
"22268";"71";"727.85";"154";"4.726299"
"22269";"60";"521.62";"115";"4.535826"
"22270";"30";"740.06";"47";"15.745957"
"22271";"157";"3891.25";"268";"14.519590"
"22272";"38";"312.72";"44";"7.107273"
"22273";"186";"7274.04";"297";"24.491717"
"22274";"156";"3020.28";"246";"12.277561"
"22275";"1";"527.85";"1";"527.850000"
"22276";"45";"617.01";"73";"8.452192"
"22277";"46";"744.44";"90";"8.271556"
"22278";"51";"2274.31";"164";"13.867744"
"22279";"35";"855.90";"119";"7.192437"
"22280";"22";"435.84";"90";"4.842667"
"22281";"33";"806.92";"58";"13.912414"
"22282";"35";"1138.86";"89";"12.796180"
"22283";"79";"2077.26";"140";"14.837571"
"22284";"78";"1521.17";"127";"11.977717"
"22285";"72";"1435.50";"117";"12.269231"
"22286";"63";"980.07";"112";"8.750625"
"22287";"51";"619.72";"77";"8.048312"
"22288";"35";"549.45";"55";"9.990000"
"22289";"18";"163.52";"32";"5.110000"
"22291";"70";"1875.57";"117";"16.030513"
"22292";"76";"1248.86";"111";"11.250991"
"22293";"63";"1306.87";"121";"10.800579"
"22294";"158";"6098.27";"294";"20.742415"
"22295";"154";"3957.87";"247";"16.023765"
"22296";"182";"4360.32";"307";"14.202997"
"22297";"153";"4705.60";"371";"12.683558"
"22299";"36";"1141.97";"76";"15.025921"
"22300";"94";"3197.56";"188";"17.008298"
"22301";"109";"4597.58";"237";"19.399072"
"22302";"103";"4022.64";"168";"23.944286"
"22303";"118";"4167.00";"190";"21.931579"
"22304";"37";"1291.68";"57";"22.661053"
"22305";"32";"572.43";"45";"12.720667"
"22306";"80";"1283.23";"106";"12.105943"
"22307";"48";"761.16";"68";"11.193529"
"22308";"24";"708.63";"101";"7.016139"
